Direct Annotation	Annotation Label	Ontology	Ontology	Taxon	Maybe
GO:0000813	ESCRT I complex	C	protein	NCBITaxon:9606	Yes
GO:0000814	ESCRT II complex	C	protein	NCBITaxon:9606	Yes
GO:0000815	ESCRT III complex	C	protein	NCBITaxon:9606	Yes
GO:0001881	receptor recycling	P	protein	NCBITaxon:9606	To Be Assessed
GO:0004962	endothelin receptor activity	F	protein	NCBITaxon:9606	Yes
GO:0005021	vascular endothelial growth factor-activated receptor activity	F	protein	NCBITaxon:9606	Yes
GO:0005172	vascular endothelial growth factor receptor binding	F	protein	NCBITaxon:9606	Yes
GO:0005768	endosome	C	protein	NCBITaxon:9606	Yes
GO:0005769	early endosome	C	protein	NCBITaxon:9606	Yes
GO:0005770	late endosome	C	protein	NCBITaxon:9606	Yes
GO:0006895	Golgi to endosome transport	P	protein	NCBITaxon:9606	Yes
GO:0006897	endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0006898	receptor-mediated endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0007032	endosome organization	P	protein	NCBITaxon:9606	Yes
GO:0008333	endosome to lysosome transport	P	protein	NCBITaxon:9606	Yes
GO:0010008	endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:0010009	cytoplasmic side of endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:0010797	regulation of multivesicular body size involved in endosome transport	P	protein	NCBITaxon:9606	Yes
GO:0016189	synaptic vesicle to endosome fusion	P	protein	NCBITaxon:9606	Yes
GO:0016197	endosomal transport	P	protein	NCBITaxon:9606	Yes
GO:0019065	receptor-mediated endocytosis of virus by host cell	P	protein	NCBITaxon:9606	Yes
GO:0030100	regulation of endocytosis	P	protein	NCBITaxon:9606	Yes
GO:0030119	AP-type membrane coat adaptor complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0030121	AP-1 adaptor complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0030122	AP-2 adaptor complex	C	protein	NCBITaxon:9606	Yes
GO:0030123	AP-3 adaptor complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0030124	AP-4 adaptor complex	F	protein	NCBITaxon:9606	To Be Assessed
GO:0030128	clathrin coat of endocytic vesicle	C	protein	NCBITaxon:9606	Yes
GO:0030131	clathrin adaptor complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0030139	endocytic vesicle	C	protein	NCBITaxon:9606	Yes
GO:0030276	clathrin binding	F	protein	NCBITaxon:9606	To Be Assessed
GO:0030666	endocytic vesicle membrane	C	protein	NCBITaxon:9606	Yes
GO:0030669	clathrin-coated endocytic vesicle membrane	C	protein	NCBITaxon:9606	Yes
GO:0030904	retromer complex	C	protein	NCBITaxon:9606	To Be Assessed
GO:0030905	"retromer, tubulation complex"	C	protein	NCBITaxon:9606	To Be Assessed
GO:0030906	"retromer, cargo-selective complex"	C	protein	NCBITaxon:9606	To Be Assessed
GO:0031302	intrinsic component of endosome membrane	C	protein	NCBITaxon:9606	To Be Assessed
GO:0031313	extrinsic component of endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:0031623	receptor internalization	P	protein	NCBITaxon:9606	To Be Assessed
GO:0031707	endothelin A receptor binding	F	protein	NCBITaxon:9606	Yes
GO:0031708	endothelin B receptor binding	F	protein	NCBITaxon:9606	Yes
GO:0031901	early endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:0031902	late endosome membrane	C	protein	NCBITaxon:9606	Yes
GO:0031904	endosome lumen	C	protein	NCBITaxon:9606	Yes
GO:0031905	early endosome lumen	C	protein	NCBITaxon:9606	Yes
GO:0032439	endosome localization	P	protein	NCBITaxon:9606	Yes
GO:0032456	endocytic recycling	P	protein	NCBITaxon:9606	Yes
GO:0032458	slow endocytic recycling	P	protein	NCBITaxon:9606	Yes
GO:0032509	endosome transport via multivesicular body sorting pathway	P	protein	NCBITaxon:9606	Yes
GO:0032510	endosome to lysosome transport via multivesicular body sorting pathway	P	protein	NCBITaxon:9606	Yes
GO:0033565	ESCRT-0 complex	C	protein	NCBITaxon:9606	Yes
GO:0034058	endosomal vesicle fusion	P	protein	NCBITaxon:9606	Yes
GO:0034498	early endosome to Golgi transport	P	protein	NCBITaxon:9606	Yes
