EntrezID	Uniprot ID	Gene	hsa04010: MAPK signaling pathway	hsa04066: HIF-1 signaling pathway	hsa05164: Influenza A	hsa04510: Focal adhesion	hsa04310: Wnt signaling pathway	hsa04151: PI3K-Akt signaling pathway	hsa04068: FoxO signaling pathway	hsa04014: Ras signaling pathway	hsa04015: Rap1 signaling pathway
207	P31749	AKT1	MAPK signaling	HIF-1 signaling	Influenza A Signaling	Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
208	P31751	AKT2	MAPK signaling	HIF-1 signaling	Influenza A Signaling	Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
387	P61586	RHOA				Focal adhesion	Wnt signaling			Ras signaling	Rap1 signaling
2	P01023	A2M									
10	P11245	NAT2									
16	P49588	AARS									
19	O95477	ABCA1									
22	O75027	ABCB7									
25	P00519	ABL1								Ras signaling	
27	P42684	ABL2								Ras signaling	
31	Q13085	ACACA									
38	P24752	ACAT1									
39	Q9BWD1	ACAT2									
43	P22303	ACHE									
47	P53396	ACLY									
48	P21399	ACO1									
50	Q99798	ACO2									
51	Q15067	ACOX1									
52	P24666	ACP1									
53	P11117	ACP2									
59	P62736	ACTA2									
60	P60709	ACTB			Influenza A Signaling	Focal adhesion					Rap1 signaling
70	P68032	ACTC1									
71	P63261	ACTG1			Influenza A Signaling	Focal adhesion					Rap1 signaling
72	P63267	ACTG2									
81	O43707	ACTN4				Focal adhesion					
87	P12814	ACTN1				Focal adhesion					
88	P35609	ACTN2				Focal adhesion					
89	Q08043	ACTN3				Focal adhesion					
90	Q04771	ACVR1									
91	P36896	ACVR1B									
93	Q13705	ACVR2B									
95	Q03154	ACY1									
97	P07311	ACYP1									
114	P40145	ADCY8									Rap1 signaling
123	Q99541	PLIN2									
127	P08319	ADH4									
128	P11766	ADH5									
130	P28332	ADH6									
134	P30542	ADORA1									
135	P29274	ADORA2A									Rap1 signaling
136	P29275	ADORA2B									Rap1 signaling
142	P09874	PARP1									
147	P35368	ADRA1B									
150	P08913	ADRA2A									
153	P08588	ADRB1									
154	P07550	ADRB2									
155	P13945	ADRB3									
156	P25098	GRK2									
159	P30520	ADSS									
160	O95782	AP2A1									
161	O94973	AP2A2									
162	Q10567	AP1B1									
163	P63010	AP2B1									
164	O43747	AP1G1									
174	P02771	AFP									
175	P20933	AGA									
177	Q15109	AGER									
178	P35573	AGL									
182	P78504	JAG1									
185	P30556	AGTR1									
191	P23526	AHCY									
203	P00568	AK1									
205	P27144	AK4									
211	P13196	ALAS1									
213	P02768	ALB									
214	Q13740	ALCAM									
217	P05091	ALDH2									
219	P30837	ALDH1B1									
223	P49189	ALDH9A1									
224	P51648	ALDH3A2									
226	P04075	ALDOA		HIF-1 signaling							
229	P05062	ALDOB									
231	P15121	AKR1B1									
238	Q9UM73	ALK									
240	P09917	ALOX5									
267	Q9UKV5	AMFR									
268	P03971	AMH									
273	P49418	AMPH									
274	O00499	BIN1									
288	Q12955	ANK3									
291	P12235	SLC25A4									
292	P05141	SLC25A5									
293	P12236	SLC25A6			Influenza A Signaling						
322	O00213	APBB1									
324	P25054	APC					Wnt signaling				
326	O43918	AIRE									
328	P27695	APEX1									
329	Q13490	BIRC2				Focal adhesion					
330	Q13489	BIRC3				Focal adhesion					
331	P98170	XIAP				Focal adhesion					
332	O15392	BIRC5									
335	P02647	APOA1									
336	P02652	APOA2									
337	P06727	APOA4									
338	P04114	APOB									
345	P02656	APOC3									
348	P02649	APOE									
351	P05067	APP									
353	P07741	APRT									
355	P25445	FAS	MAPK signaling		Influenza A Signaling						
356	P48023	FASLG	MAPK signaling		Influenza A Signaling			PI3K-Akt signaling	FoxO signaling	Ras signaling	
357	Q13796	SHROOM2									
360	Q92482	AQP3									
361	P55087	AQP4									
367	P10275	AR									
368	O95255	ABCC6									
369	P10398	ARAF							FoxO signaling		
374	P15514	AREG									
375	P84077	ARF1									
377	P61204	ARF3									
381	P84085	ARF5									
382	P62330	ARF6								Ras signaling	
383	P05089	ARG1									
396	P52565	ARHGDIA									
397	P52566	ARHGDIB									
405	P27540	ARNT		HIF-1 signaling							
408	P49407	ARRB1	MAPK signaling								
409	P32121	ARRB2	MAPK signaling								
432	P07306	ASGR1									
440	P08243	ASNS									
445	P00966	ASS1									
468	P18848	ATF4	MAPK signaling					PI3K-Akt signaling			
471	P31939	ATIC									
472	Q13315	ATM							FoxO signaling		
476	P05023	ATP1A1									
480	Q13733	ATP1A4									
481	P05026	ATP1B1									
483	P54709	ATP1B3									
487	O14983	ATP2A1									
488	P16615	ATP2A2									
489	Q93084	ATP2A3									
493	P23634	ATP2B4									
495	P20648	ATP4A									
498	P25705	ATP5A1									
501	P49419	ALDH7A1									
506	P06576	ATP5B									
509	P36542	ATP5C1									
515	P24539	ATP5F1									
521	P56385	ATP5I									
523	P38606	ATP6V1A									
525	P15313	ATP6V1B1									
527	P27449	ATP6V0C									
528	P21283	ATP6V1C1									
529	P36543	ATP6V1E1									
535	Q93050	ATP6V0A1									
539	P48047	ATP5O									
545	Q13535	ATR									
554	P30518	AVPR2									
558	P30530	AXL									
567	P61769	B2M									
573	Q99933	BAG1									
575	O14514	ADGRB1									
578	Q16611	BAK1									
580	Q99728	BARD1									
581	Q07812	BAX									
586	P54687	BCAT1									
587	O15382	BCAT2									
595	P24385	CCND1				Focal adhesion	Wnt signaling	PI3K-Akt signaling	FoxO signaling		
596	P10415	BCL2		HIF-1 signaling		Focal adhesion		PI3K-Akt signaling			
597	Q16548	BCL2A1									
604	P41182	BCL6							FoxO signaling		
610	Q9UL51	HCN2									
613	P11274	BCR									
622	Q02338	BDH1									
627	P23560	BDNF	MAPK signaling								
637	P55957	BID									
638	Q13323	BIK									
644	P53004	BLVRA									
648	P35226	BMI1									
655	P18075	BMP7									
657	P36894	BMPR1A									
658	O00238	BMPR1B									
659	Q13873	BMPR2									
662	Q12981	BNIP1									
672	P38398	BRCA1						PI3K-Akt signaling			
673	P15056	BRAF	MAPK signaling			Focal adhesion			FoxO signaling		Rap1 signaling
683	Q10588	BST1									
685	P35070	BTC									
695	Q06187	BTK									
699	O43683	BUB1									
701	O60566	BUB1B									
708	Q07021	C1QBP									
712	P02745	C1QA									
714	P02747	C1QC									
720	P0C0L4	C4A									
728	P21730	C5AR1									
760	P00918	CA2									
765	P23280	CA6									
768	Q16790	CA9									
773	O00555	CACNA1A	MAPK signaling								
782	Q02641	CACNB1	MAPK signaling								
790	P27708	CAD									
799	P30988	CALCR									
800	Q05682	CALD1									
801	P62158	CALM1								Ras signaling	Rap1 signaling
805	P62158	CALM2								Ras signaling	Rap1 signaling
808	P62158	CALM3								Ras signaling	Rap1 signaling
811	P27797	CALR									
815	Q9UQM7	CAMK2A		HIF-1 signaling			Wnt signaling				
816	Q13554	CAMK2B		HIF-1 signaling			Wnt signaling				
817	Q13557	CAMK2D		HIF-1 signaling			Wnt signaling				
818	Q13555	CAMK2G		HIF-1 signaling			Wnt signaling				
821	P27824	CANX									
823	P07384	CAPN1									
824	P17655	CAPN2				Focal adhesion					
829	P52907	CAPZA1									
830	P47755	CAPZA2									
832	P47756	CAPZB									
833	P49589	CARS									
834	P29466	CASP1			Influenza A Signaling						
836	P42574	CASP3	MAPK signaling								
839	P55212	CASP6									
840	P55210	CASP7									
841	Q14790	CASP8									
842	P55211	CASP9			Influenza A Signaling			PI3K-Akt signaling			
843	Q92851	CASP10									
847	P04040	CAT							FoxO signaling		
857	Q03135	CAV1				Focal adhesion					
858	P51636	CAV2				Focal adhesion					
859	P56539	CAV3				Focal adhesion					
867	P22681	CBL									
868	Q13191	CBLB									
873	P16152	CBR1									
875	P35520	CBS									
883	Q16773	KYAT1									
889	O00522	KRIT1									Rap1 signaling
890	P20248	CCNA2									
896	P30281	CCND3				Focal adhesion	Wnt signaling	PI3K-Akt signaling			
900	P51959	CCNG1									
904	O60563	CCNT1									
914	P06729	CD2									
915	P04234	CD3D									
919	P20963	CD247									
920	P01730	CD4									
921	P06127	CD5									
925	P01732	CD8A									
926	P10966	CD8B									
930	P15391	CD19						PI3K-Akt signaling			
933	P20273	CD22									
940	P10747	CD28									
942	P42081	CD86									
945	P20138	CD33									
948	P16671	CD36									
949	Q8WTV0	SCARB1									
950	Q14108	SCARB2									
952	P28907	CD38									
954	Q9Y5L3	ENTPD2									
958	P25942	CD40									
959	P29965	CD40LG									
960	P16070	CD44									
962	P09326	CD48									
965	P19256	CD58									
966	P13987	CD59									
967	P08962	CD63									
972	P04233	CD74									
974	P40259	CD79B									
975	P60033	CD81									
983	P06493	CDK1									
988	Q99459	CDC5L									
991	Q12834	CDC20									
993	P30304	CDC25A									
995	P30307	CDC25C									
997	P49427	CDC34									
998	P60953	CDC42	MAPK signaling			Focal adhesion				Ras signaling	Rap1 signaling
999	P12830	CDH1									Rap1 signaling
1000	P19022	CDH2									
1003	P33151	CDH5									
1017	P24941	CDK2						PI3K-Akt signaling	FoxO signaling		
1019	P11802	CDK4						PI3K-Akt signaling			
1020	Q00535	CDK5									
1021	Q00534	CDK6						PI3K-Akt signaling			
1022	P50613	CDK7									
1025	P50750	CDK9									
1026	P38936	CDKN1A		HIF-1 signaling				PI3K-Akt signaling	FoxO signaling		
1027	P46527	CDKN1B		HIF-1 signaling				PI3K-Akt signaling	FoxO signaling		
1029	P42771	CDKN2A									
1030	P42772	CDKN2B							FoxO signaling		
1032	P55273	CDKN2D							FoxO signaling		
1051	P17676	CEBPB									
1072	P23528	CFL1									
1080	P13569	CFTR									
1108	Q14839	CHD4									
1111	O14757	CHEK1									
1119	P35790	CHKA									
1128	P11229	CHRM1						PI3K-Akt signaling			
1129	P08172	CHRM2						PI3K-Akt signaling			
1131	P20309	CHRM3									
1132	P08173	CHRM4									
1133	P08912	CHRM5									
1139	P36544	CHRNA7									
1147	O15111	CHUK	MAPK signaling					PI3K-Akt signaling	FoxO signaling	Ras signaling	
1154	Q9NSE2	CISH									
1159	P12532	CKMT1B									
1173	Q96CW1	AP2M1									
1174	P61966	AP1S1									
1175	P53680	AP2S1									
1179	A8K7I4	CLCA1									
1191	P10909	CLU									
1195	P49759	CLK1									
1200	O14773	TPP1									
1201	Q13286	CLN3									
1207	P54105	CLNS1A									
1211	P09496	CLTA									
1212	P09497	CLTB									
1213	Q00610	CLTC									
1234	P51681	CCR5									
1244	Q92887	ABCC2									
1261	Q16281	CNGA3									
1263	Q9H4B4	PLK3							FoxO signaling		
1270	P26441	CNTF									
1278	P08123	COL1A2				Focal adhesion		PI3K-Akt signaling			
1282	P02462	COL4A1				Focal adhesion		PI3K-Akt signaling			
1284	P08572	COL4A2				Focal adhesion		PI3K-Akt signaling			
1285	Q01955	COL4A3				Focal adhesion		PI3K-Akt signaling			
1287	P29400	COL4A5				Focal adhesion		PI3K-Akt signaling			
1288	Q14031	COL4A6				Focal adhesion		PI3K-Akt signaling			
1293	P12111	COL6A3				Focal adhesion		PI3K-Akt signaling			
1299	Q14050	COL9A3				Focal adhesion		PI3K-Akt signaling			
1303	Q99715	COL12A1									
1308	Q9UMD9	COL17A1									
1312	P21964	COMT									
1326	P41279	MAP3K8	MAPK signaling								
1327	P13073	COX4I1									
1339	Q02221	COX6A2									
1355	Q7KZN9	COX15									
1356	P00450	CP									
1357	P15085	CPA1									
1365	O15551	CLDN3									
1374	P50416	CPT1A									
1386	P15336	ATF2	MAPK signaling		Influenza A Signaling			PI3K-Akt signaling			
1387	Q92793	CREBBP		HIF-1 signaling	Influenza A Signaling		Wnt signaling		FoxO signaling		
1395	Q13324	CRHR2									
1398	P46108	CRK	MAPK signaling			Focal adhesion					Rap1 signaling
1399	P46109	CRKL	MAPK signaling			Focal adhesion					Rap1 signaling
1410	P02511	CRYAB									
1431	O75390	CS									
1432	Q16539	MAPK14	MAPK signaling		Influenza A Signaling				FoxO signaling		Rap1 signaling
1435	P09603	CSF1						PI3K-Akt signaling		Ras signaling	Rap1 signaling
1436	P07333	CSF1R						PI3K-Akt signaling		Ras signaling	Rap1 signaling
1445	P41240	CSK									
1447	P05814	CSN2									
1452	P48729	CSNK1A1					Wnt signaling				
1453	P48730	CSNK1D									
1454	P49674	CSNK1E					Wnt signaling		FoxO signaling		
1455	P78368	CSNK1G2									
1457	P68400	CSNK2A1					Wnt signaling				
1459	P19784	CSNK2A2					Wnt signaling				
1460	P67870	CSNK2B					Wnt signaling				
1468	Q9UBX3	SLC25A10									
1470	P09228	CST2									
1478	P33240	CSTF2									
1488	P56545	CTBP2					Wnt signaling				
1489	Q16619	CTF1									
1490	P29279	CTGF									
1493	P16410	CTLA4									
1495	P35221	CTNNA1									
1499	P35222	CTNNB1				Focal adhesion	Wnt signaling				Rap1 signaling
1500	O60716	CTNND1									Rap1 signaling
1503	P17812	CTPS1									
1508	P07858	CTSB									
1509	P07339	CTSD									
1511	P08311	CTSG									
1514	P07711	CTSL									
1535	P13498	CYBA									
1536	P04839	CYBB		HIF-1 signaling							
1537	P08574	CYC1									
1558	P10632	CYP2C8									
1562	P33260	CYP2C18									
1601	P98082	DAB2									
1603	P61803	DAD1									
1604	P08174	CD55									
1605	Q14118	DAG1									
1606	P23743	DGKA									
1608	P49619	DGKG									
1609	P52824	DGKQ									
1612	P53355	DAPK1									
1615	P14868	DARS									
1616	Q9UER7	DAXX	MAPK signaling								
1621	P09172	DBH									
1630	P43146	DCC									
1632	P42126	ECI1									
1634	P07585	DCN									
1639	Q14203	DCTN1									
1647	P24522	GADD45A	MAPK signaling						FoxO signaling		
1650	P39656	DDOST									
1654	O00571	DDX3X									
1655	P17844	DDX5									
1656	P26196	DDX6									
1665	O43143	DHX15									
1674	P17661	DES									
1677	O76075	DFFB									
1716	Q16854	DGUOK									
1719	P00374	DHFR									
1729	O60610	DIAPH1				Focal adhesion					
1730	O60879	DIAPH2									
1731	Q8WYJ6	SEPT1									
1735	P55073	DIO3									
1736	O60832	DKC1									
1737	P10515	DLAT									
1739	Q12959	DLG1									
1741	Q92796	DLG3									
1742	P78352	DLG4									
1755	Q9UGM3	DMBT1									
1756	P11532	DMD									
1759	Q05193	DNM1									
1778	Q14204	DYNC1H1									
1783	O43237	DYNC1LI2									
1785	P50570	DNM2									
1786	P26358	DNMT1									
1791	P04053	DNTT									
1793	Q14185	DOCK1				Focal adhesion					
1796	Q99704	DOK1									
1803	P27487	DPP4									
1808	Q16555	DPYSL2									
1811	P40879	SLC26A3									
1814	P35462	DRD3									
1815	P21917	DRD4									
1827	P53805	RCAN1									
1829	Q14126	DSG2									
1832	P15924	DSP									
1839	Q99075	HBEGF									
1843	P28562	DUSP1	MAPK signaling								
1844	Q05923	DUSP2	MAPK signaling								
1845	P51452	DUSP3	MAPK signaling								
1846	Q13115	DUSP4	MAPK signaling								
1847	Q16690	DUSP5	MAPK signaling								
1848	Q16828	DUSP6	MAPK signaling								
1849	Q16829	DUSP7	MAPK signaling								
1852	Q99956	DUSP9	MAPK signaling								
1855	O14640	DVL1					Wnt signaling				
1856	O14641	DVL2					Wnt signaling				
1857	Q92997	DVL3					Wnt signaling				
1891	Q13011	ECH1									
1892	P30084	ECHS1									
1896	Q92838	EDA									
1901	P21453	S1PR1							FoxO signaling		
1909	P25101	EDNRA									
1910	P24530	EDNRB									
1915	P68104	EEF1A1									
1917	Q05639	EEF1A2									
1936	P29692	EEF1D									
1937	P26641	EEF1G									
1938	P13639	EEF2									
1946	P52803	EFNA5						PI3K-Akt signaling		Ras signaling	Rap1 signaling
1947	P98172	EFNB1									
1948	P52799	EFNB2									
1950	P01133	EGF	MAPK signaling	HIF-1 signaling		Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
1956	P00533	EGFR	MAPK signaling	HIF-1 signaling		Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
1962	Q08426	EHHADH									
1964	P47813	EIF1AX									
1965	P05198	EIF2S1			Influenza A Signaling						
1967	Q14232	EIF2B1									
1968	P41091	EIF2S3									
1969	P29317	EPHA2						PI3K-Akt signaling		Ras signaling	Rap1 signaling
1973	P60842	EIF4A1									
1974	Q14240	EIF4A2									
1975	P23588	EIF4B						PI3K-Akt signaling			
1977	P06730	EIF4E		HIF-1 signaling				PI3K-Akt signaling			
1978	Q13541	EIF4EBP1		HIF-1 signaling				PI3K-Akt signaling			
1981	Q04637	EIF4G1									
1982	P78344	EIF4G2									
1983	P55010	EIF5									
1991	P08246	ELANE									
1994	Q15717	ELAVL1									
2002	P19419	ELK1	MAPK signaling			Focal adhesion				Ras signaling	
2010	P50402	EMD									
2017	Q14247	CTTN									
2023	P06733	ENO1		HIF-1 signaling							
2027	P13929	ENO3		HIF-1 signaling							
2033	Q09472	EP300		HIF-1 signaling	Influenza A Signaling		Wnt signaling		FoxO signaling		
2034	Q99814	EPAS1									
2035	P11171	EPB41									
2036	Q9H4G0	EPB41L1									
2037	O43491	EPB41L2									
2042	P29320	EPHA3									
2043	P54764	EPHA4									
2048	P29323	EPHB2									
2050	P54760	EPHB4									
2057	P19235	EPOR						PI3K-Akt signaling			
2058	P07814	EPRS									
2060	P42566	EPS15									
2064	P04626	ERBB2		HIF-1 signaling		Focal adhesion					
2065	P21860	ERBB3									
2066	Q15303	ERBB4									
2069	O14944	EREG									
2072	Q92889	ERCC4									
2078	P11308	ERG									
2091	P22087	FBL									
2098	P10768	ESD									
2099	P03372	ESR1									
2100	Q92731	ESR2									
2107	P62495	ETF1									
2113	P14921	ETS1								Ras signaling	
