Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04144:Endocytosis	217	4.207872794260229	2.73E-54	"P01130, O75351, Q99418, P61073, Q6WKZ4, P11142, Q00987, Q92538, Q86YS3, Q15075, Q96J02, Q9Y6I3, O00401, Q9H1K0, P46934, Q9Y5X3, Q8WU79, P61586, Q9BRG1, P01133, O95782, P98082, P01137, P09497, P09496, Q86XE0, B3KMC4, Q13596, P22681, Q9NP61, Q15303, Q9NZN4, Q96CF2, Q9NZN3, Q05193, P41743, Q86XT2, O75886, P21802, Q9UK41, P07949, Q9NP79, Q9ULH1, P42768, Q92783, Q96P48, Q7Z3T8, Q13636, P07550, O95630, Q9UQN3, Q8WUX9, O60331, P00533, P01112, P36897, P61204, O75154, Q15027, P16234, Q86VN1, Q9H4M9, Q9Y4E1, Q9NRW7, O75061, P30457, Q96B97, Q860B5, P30455, P13747, P30450, P53680, P84077, Q8NDX1, Q9H0M0, Q9BPX5, Q9UL26, O95219, P11717, P62491, P17693, P37173, P47755, Q96PU5, P47756, P30464, P84085, P53675, P25116, P30460, Q31612, Q96CW1, P30461, O95405, Q07000, P30480, Q15835, Q9Y3C0, Q96FZ7, O75436, O95208, Q9HCE7, P33176, Q9H4P4, A5D8V6, P43250, P54652, Q9Y6D6, P51149, Q2M389, A8K0Z3, Q9UN37, P51148, Q8N0X7, Q99755, P20339, P20338, P51681, Q15438, P30481, P62330, Q99816, Q96QK1, Q9Y3E7, Q9HAU4, P30447, P01892, Q15286, P51636, P30443, Q9H444, Q9BXF6, P84022, O60493, Q96EY5, P49418, Q8IYB5, P50570, O15511, O60282, P01889, O00499, P40818, P14784, P01891, P01589, P10321, P56539, P49407, P34931, P60953, O43633, Q9UNH7, P61026, Q14161, Q9NZD8, P61020, P61812, P25025, Q9H223, P52907, O94973, Q8NEZ2, Q15907, Q00610, P17066, P53990, Q5SW96, O15144, O15145, Q15276, P30685, O15143, Q9UPQ3, Q9Y371, Q12840, P34947, O14939, Q6DN90, Q641Q2, Q9H7P6, Q15796, Q9UBQ0, Q8N6T3, P12931, P30504, P30505, P61006, P63010, Q03135, P13945, Q9Y2X7, P30508, Q7L804, Q9H201, Q4G0F5, Q8TDY4, P25098, P16188, P42566, Q96T51, P02786, Q8WUM4, Q9UMY4, Q13191, P04439, P17948, O43150, Q9H9H4, Q9BYG5, Q12768, O60749, Q99961, P08069, Q13393, P35968, P32121, Q99962, Q99963, Q9BY43, Q7LBR1, Q9NZZ3, P07333, P08581, P08588, O14964, Q8TEW0, P03989, P04629, Q9Y4K3, A5PKW4, Q5T4F4, Q99490, P10721, Q9ULV8, Q96H20, P21860, P29590, Q05513"	2604	258	6910	2.231912145	8.11E-52	8.11E-52	3.64E-51
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	143	2.772929998060888	2.36E-22	"P46940, Q9ULV1, P24385, P19419, P62070, P51636, O00206, P35052, P53778, P62753, P10398, Q00987, O15530, P16885, Q13467, Q9UQM7, P38936, P08962, P36507, P98160, P34741, P15056, Q13153, P05556, Q16082, Q13464, P17844, Q07889, O75369, Q13009, P61586, Q13555, Q07890, Q16539, O60603, Q13554, P56539, P01137, Q13557, Q99835, Q92888, P60953, P22681, P17252, P51654, P41221, Q02750, P61812, Q15303, Q9NZN5, P35222, Q9Y243, P06756, P31751, Q06124, P28482, P01106, P42345, O00755, P56705, Q9P212, Q16665, P19174, P27361, Q13635, P07585, P04049, P35241, P42338, Q05397, P49023, P08253, P42336, P63261, O75116, P10301, Q53EL6, P25445, P01116, P00533, P40763, P31749, P01112, Q14247, P08648, P05019, Q14573, P12931, P60709, Q03135, P62136, P18084, P27986, P15311, P29350, P62993, Q92569, Q9BRJ7, Q15759, P17612, O15264, P18827, P26038, Q13191, P21333, P05771, Q03405, P01344, P05106, P63000, P48023, P04637, P08069, P35968, Q12955, P15692, O00459, P00749, Q9UBS0, Q99075, P02751, P36873, P23443, P11362, P08581, P01375, P07711, P23588, P04626, Q8WU20, P07996, Q8WYR1, P05129, P19634, O14974, Q14315, Q13480, P03372, Q9ULV8, P04004, Q6PKD3, P42574, P21860, P16070"	2604	200	6910	1.897331029	7.01E-20	3.51E-20	3.15E-19
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	77	1.4931161528020167	5.19E-22	"Q02297, P12931, P19419, O14944, P10398, P53779, P42229, P27986, P15514, P62993, Q92569, P16885, Q9UQM7, P38936, P36507, P29353, P15056, P98077, Q13153, P49841, Q13191, P00519, P05771, Q07889, P05412, Q92529, P01135, Q9P286, P45984, Q13555, P45985, P01133, Q07890, O00459, Q13554, Q9UBS0, Q13557, P46527, Q99075, P45983, O43639, P23443, P22681, P17252, Q02750, Q15303, Q9Y243, P46109, P42684, P51692, P04626, P31751, P28482, P35070, P01106, P42345, P46108, Q8WYR1, O96013, P05129, P19174, Q13541, P27361, Q13177, Q13480, P04049, Q9ULV8, Q05397, P42338, P42336, P21860, P01116, P16333, P00533, O14733, P31749, P01112"	2604	87	6910	2.348597207	1.54E-19	5.14E-20	6.92E-19
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	97	1.8809385301531898	1.14E-21	"Q9NWZ3, P53778, P53779, P49810, O15530, Q99683, P16885, Q9UQM7, P36507, P15056, P10415, P49137, P98077, P25963, Q16288, O43187, Q07889, O43524, P62258, Q07812, Q92529, P61586, Q04206, Q13555, P45984, Q07890, Q13554, Q16539, Q13557, P45983, P01138, P60953, O14920, P52565, P52566, Q02750, Q9Y243, Q13905, Q06124, P31751, P28482, P61224, P62834, Q9Y616, Q13233, P19174, P27361, P04049, P42338, P42336, P01116, O14733, P31749, P01112, P23560, O14492, P08138, P35568, P27986, Q9NRF2, Q92569, P62993, Q9UQQ2, Q15759, O15264, P29353, P49841, P00519, P63000, Q99523, P04637, P48023, Q15418, P05412, Q9UK32, O00459, P49768, Q15349, Q13164, P62158, P46109, P51617, P04629, Q8WU20, P46108, Q9Y4K3, P18848, Q8WYR1, Q15653, P51812, O43353, P19838, Q05655, Q13480, Q16620, P42679, Q99759"	2604	120	6910	2.14500128	3.39E-19	8.48E-20	1.52E-18
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	134	2.59840992825286	3.96E-20	"P48556, Q9UHD2, Q13200, P30447, P01892, Q99558, Q13573, P30443, P53778, P53779, O43318, P11142, Q9UBG7, Q00987, P16885, P38936, P10415, P06400, P05362, P25963, Q16082, P46934, P01889, P20248, P19388, Q93009, Q9UQL6, P62258, O95786, Q04206, P45984, Q15008, P45985, P01891, P10321, Q16539, Q9NYJ8, P46527, P45983, P16150, P35998, P43686, P34931, O14920, Q92793, Q9Y243, Q7KZF4, P27348, P56524, P31751, P43405, P17980, P01106, P09769, P46734, Q13114, P17066, P07948, P63104, P25942, Q9Y618, P30685, P19525, P78396, P19174, P62380, P24941, Q12933, Q14653, P42338, P53803, P42336, Q04917, O14733, P40763, P31749, Q9BUI4, O43242, Q92769, P30504, P30505, P15391, Q99460, P31946, P52333, P27986, O14802, Q92569, P30457, Q15759, Q9P2K8, P30455, Q860B5, P62826, P30508, P17612, P30450, P13747, P16188, O15264, P49841, P61218, P04439, P24928, P04637, P17693, P05412, P20701, P19256, Q15628, P30464, O00459, Q31612, P30460, O15160, P62191, P04792, P30461, P19784, Q07000, P30480, P29084, P67870, P29083, Q06330, P06493, P68400, P61981, O15111, Q13547, Q13546, P03989, Q00653, P08670, P51617, P55036, Q9Y4K3, Q9Y6K9, P23458, Q13077, Q8WYR1, Q09472, Q15653, P54652, P15336, P19838, Q15750, P28907, Q9UNM6, P29597, O14980, P30481, P62333, P16070, O00231"	2604	190	6910	1.871493249	1.18E-17	2.35E-18	5.29E-17
KEGG_PATHWAY	hsa05200:Pathways in cancer	234	4.537521815008725	2.00E-19	"Q8WWW0, P27540, P42771, P10398, P61073, P42772, Q9UBY5, Q9UKG1, Q00987, P16885, Q13467, Q9H6Z9, P55211, P29992, Q13464, P40337, Q14344, Q07812, P61586, Q04206, P01135, P98170, P01133, P55957, P01137, P46527, Q01955, P22681, Q9NQ66, P17252, P41221, Q92793, Q9NZN5, Q9UBI6, Q15311, P14625, P06756, P31751, P21802, P07942, P01106, P37231, P01100, P07949, P56705, P43146, P19174, P27361, P14923, P24941, P25101, Q13635, P04049, Q05397, P07954, P01116, P00533, P40763, P31749, O15085, P01112, Q15369, P36897, P05019, Q8IV61, O15169, P16234, P35221, Q01970, P29400, P11233, P62993, Q15370, P05771, P05412, P37173, P24530, P49763, O00459, P25116, P49765, P11362, Q9Y6C5, P04899, O75030, Q13547, Q96RI0, P10275, P10276, P07900, P62873, P62879, P51692, P62877, Q12967, O14775, P23458, Q8WYR1, Q09472, P05129, P50148, P19838, P25391, O15392, P43246, Q9ULV1, P24385, Q99814, P53779, P84022, P26006, P02462, P12270, P56545, P11274, P15153, P25054, P38936, Q7LDG7, P36507, Q9HAV0, P15056, P10415, P06400, P05556, Q14790, P08572, P25963, P35354, Q07889, P04085, Q92734, P48061, P08238, P45984, O14641, O14640, Q07890, O43320, P45983, Q99835, Q92888, P35408, Q03113, P60953, O14920, P40692, Q02750, P35228, P61812, P35222, Q9HBW0, Q9Y243, P09619, P28482, P42345, O00755, Q13114, P08754, Q5JWF2, P10826, Q16665, Q12933, P30556, Q92997, P99999, Q15796, P42338, P08253, P42336, P11802, O75116, P25445, P61328, P42224, Q13043, O96020, Q92769, P34995, Q12778, P42229, P11166, P27986, P12830, Q92569, P53355, Q13617, Q00534, P17612, O75928, Q9Y6N6, P49841, Q13191, P00519, P63000, P04637, P48023, Q14031, P08069, Q9GZT9, P06753, P15692, P60484, P02751, P07333, P08581, Q13489, P59768, O15111, P46109, Q13490, Q00653, P28702, P04626, Q13158, P04629, P11047, P43116, Q9Y4K3, Q9Y6K9, P46108, P19793, Q13077, Q9HBZ2, Q03181, Q8TDF6, Q9UIK4, P40145, P10721, Q9ULV8, Q13485, P42574, P23229, P29590"	2604	393	6910	1.58001196	5.93E-17	9.89E-18	2.67E-16
KEGG_PATHWAY	hsa04510:Focal adhesion	138	2.675974403723095	1.20E-17	"P17655, P24385, O60610, P19419, P51636, P53779, P26006, P02462, O15530, P18564, P15153, P26010, O43707, P10415, P15056, P98077, Q13153, P12111, Q9Y490, P05556, P08572, Q13464, Q07889, P04085, O75369, Q92529, Q9H1R3, P61586, P98170, P45984, P01133, Q07890, P56539, P45983, Q01955, P18206, P60953, P17252, Q02750, P35222, P35609, P12814, P19105, Q9Y243, P22105, Q13905, Q9UKW4, P06756, P09619, P31751, Q9NVD7, P28482, P07942, P06241, Q9BUA6, P62834, P61224, Q13972, P16144, P27361, P04049, Q02045, P42338, Q05397, P49023, P42336, P63261, O75116, P00533, P31749, P01112, P08648, P05019, P12931, P16234, P60709, P10451, P29400, Q03135, P62136, P18084, P27986, P62993, Q92569, P29353, Q9Y6N6, P49841, P52735, P21333, P17948, P05771, Q96D37, P05106, P08123, P63000, O14950, P08069, Q14031, P24821, P05412, P35968, P15498, Q13418, Q9P286, P04275, P15692, P49763, O00459, P60484, P13612, P02751, P49765, P36873, P08581, Q13489, P56945, P46109, Q13490, Q9HBI0, P04626, P11047, Q9NRY4, P30281, P07996, P46108, Q08043, Q8WYR1, O96013, P05129, Q13177, P25391, Q15942, O14974, Q14315, P50552, Q15746, Q14185, P04004, P23229"	2604	206	6910	1.777660955	3.58E-15	5.11E-16	1.61E-14
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	161	3.121970137676944	8.58E-17	"P19419, P62070, Q99558, Q9NYL2, P53778, P28562, P53779, O43318, Q16829, P11142, P14778, Q9Y698, Q16828, Q99683, P15153, Q7LDG7, P36507, Q9UP65, P15056, P49137, P20936, P51452, Q13153, Q9BUB5, O95257, Q9HBH9, Q02641, Q9Y6R4, O75369, P04085, Q07889, P47712, P54829, P53041, O43283, P45984, Q04206, P45985, P01133, Q07890, Q16539, Q9BY84, O43320, Q9NYJ8, P49407, P01137, P01138, P45983, P01584, P34931, Q03113, P60953, P17252, O14920, Q12852, Q9Y4G8, Q02750, O00555, P61812, Q9UPT6, Q9UBI6, Q9Y243, P35813, P24522, Q16644, P09619, P31751, P28482, P21802, P01106, P11831, P01100, P46734, Q13115, P17066, P61224, P62834, O75676, P10636, Q13233, Q92918, Q13972, P27361, Q12933, P35236, P04049, P10301, P25445, P21359, P01116, Q9UER7, P00533, O14733, O75688, Q9UQF2, P31749, P61328, P01112, P23560, P36897, Q13043, Q8IV61, O60359, P16234, Q08209, Q9Y6W6, P62993, Q13387, Q15759, Q99956, P17612, O15264, Q9BQ95, P21333, Q05923, P05771, Q16584, P63000, Q9UHA4, P19438, P48023, P04637, Q15418, P05412, P37173, P32121, P16949, Q9UK32, P04792, Q86XP0, P11362, Q15349, P01375, Q13164, Q16690, O15111, P46109, Q00653, Q15256, P04629, P17535, Q8IW41, P22736, Q9Y4K3, P46108, Q9Y6K9, P41279, P18848, P51812, P48454, P05129, Q8TDF6, P54652, P15336, Q13177, P19838, Q15750, Q14315, Q16620, P42574, Q99759"	2604	255	6910	1.675416403	3.30E-14	4.11E-15	1.44E-13
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	98	1.9003296490207484	1.45E-16	"P24385, P53778, P53779, P10398, P84022, P42772, Q00987, O15530, O14654, Q9NYY3, P55316, Q16822, P38936, P01308, P06213, P36507, P15056, O43521, O95257, Q99873, Q07889, Q93009, O43524, Q9H4B4, P45984, Q07890, P01133, Q16539, P01137, P46527, P45983, O14920, Q92793, Q02750, P04040, P61812, Q13315, Q9Y243, P24522, P31751, P49674, P28482, Q9Y478, Q13131, Q8TCJ0, P27361, P24941, Q9Y4H2, P04049, Q15796, P42338, P21453, P55273, P42336, P01116, P00533, P31749, P40763, P01112, P36897, P05019, Q13043, O94817, P41182, P35568, Q12778, Q8WWL7, P53350, P27986, Q92569, P62993, Q15759, O95166, O15264, Q9UG59, P35575, Q96BR1, P48023, P08069, P37173, P04179, P60484, O00459, Q15831, P16871, P60520, O15111, Q9H0R8, Q96EB6, Q09472, Q8WYR1, P35558, Q9NSB8, Q99490, O00141, P14672, Q9NSC5, Q13485, Q9HBY8"	2604	134	6910	1.940699727	3.30E-14	3.66E-15	1.44E-13
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	76	1.473725033934458	3.39E-15	"P27540, Q15369, P05019, P04406, P06733, O00206, P62753, P11166, Q02763, P27986, Q92569, Q15370, P16885, P05121, Q9UQM7, Q13617, P01308, P38936, P06213, P36507, P08559, Q9H6Z9, P10415, P02787, Q16875, P02786, Q9BUB5, Q9HBH9, P40337, P17948, P05771, P08069, P04839, P11177, Q9Y5S8, Q9GZT9, Q13555, Q04206, P01133, P15692, O00459, Q13554, Q9UBS0, P46527, Q13557, P23443, P17252, Q02750, Q92793, P35228, P08887, Q9Y243, Q15118, P13929, P29474, P04626, P31751, P62877, P28482, P42345, Q8WYR1, Q09472, Q16665, P05129, Q13541, P19174, P27361, O60573, P19838, P19367, P06730, P42338, P42336, P00533, P40763, P31749"	2604	98	6910	2.057901502	1.02E-12	1.02E-13	4.60E-12
