Uniprot ID	Gene	Early	GPCR	Traffic	Cargo	Manual	Network Curated
Q9NP78	ABCB9	Yes					
O43707	ACTN4	Yes					
P08588	ADRB1	Yes	Yes		Yes		
P07550	ADRB2	Yes	Yes		Yes		Yes
Q96Q42	ALS2	Yes					
Q9P2R3	ANKFY1	Yes					
Q96NW4	ANKRD27	Yes					
P04083	ANXA1	Yes					
O94973	AP2A2	Yes		Yes			Yes
P63010	AP2B1	Yes		Yes			Yes
Q96CW1	AP2M1	Yes		Yes			Yes
P02647	APOA1	Yes					
P02652	APOA2	Yes					
P06727	APOA4	Yes					
P04114	APOB	Yes					
P02655	APOC2	Yes					
P02649	APOE	Yes					
P05067	APP	Yes			Yes	Yes	
Q9UKG1	APPL1	Yes					
P62330	ARF6	Yes		Yes			
P49407	ARRB1	Yes		Yes			
P32121	ARRB2	Yes		Yes		Yes	
O75110	ATP9A	Yes					
P56817	BACE1	Yes			Yes	Yes	
Q03135	CAV1	Yes		Yes			
Q9UJ71	CD207	Yes					
P01730	CD4	Yes					
P10966	CD8B	Yes					
P13569	CFTR	Yes					
P08172	CHRM2	Yes					
P51790	CLCN3	Yes					
Q13286	CLN3	Yes					
Q9UHC6	CNTNAP2	Yes					
O60931	CTNS	Yes					
O60494	CUBN	Yes					
P98082	DAB2	Yes		Yes			
O60879	DIAPH2	Yes					
O94907	DKK1	Yes					
O75165	DNAJC13	Yes					
Q8NFT8	DNER	Yes					
Q05193	DNM1	Yes		Yes			
O75923	DYSF	Yes					
Q15075	EEA1	Yes					
P00533	EGFR	Yes					
Q9H4M9	EHD1	Yes					
P15311	EZR	Yes					
P25116	F2R	Yes	Yes		Yes		
P55085	F2RL1	Yes	Yes		Yes		
Q96RI0	F2RL3	Yes	Yes		Yes		
Q8N4B1	FAM109A	Yes					
Q8N612	FAM160A2	Yes					
Q9Y4E1	FAM21C	Yes					
Q5SRD0	FAM21D	Yes					
Q92637	FCGR1B	Yes					
P55899	FCGRT	Yes				Yes	
Q92562	FIG4	Yes					
O75955	FLOT1	Yes					
P09958	FURIN	Yes			Yes	Yes	
Q13467	FZD5	Yes					
Q9UJY5	GGA1	Yes		Yes		Yes	Yes
Q9UJY4	GGA2	Yes		Yes		Yes	Yes
Q9NZ52	GGA3	Yes		Yes		Yes	Yes
Q99527	GPER1	Yes					
Q30201	HFE	Yes					
O14964	HGS	Yes		Yes			
P01891	HLA-A	Yes					
P01892	HLA-A	Yes					
P04439	HLA-A	Yes					
P05534	HLA-A	Yes					
P10314	HLA-A	Yes					
P10316	HLA-A	Yes					
P13746	HLA-A	Yes					
P16188	HLA-A	Yes					
P16189	HLA-A	Yes					
P16190	HLA-A	Yes					
P30443	HLA-A	Yes					
P30447	HLA-A	Yes					
P30455	HLA-A	Yes					
P30456	HLA-A	Yes					
P30457	HLA-A	Yes					
P30459	HLA-A	Yes					
Q09160	HLA-A	Yes					
P01889	HLA-B	Yes					
P03989	HLA-B	Yes					
P10319	HLA-B	Yes					
P30460	HLA-B	Yes					
P30461	HLA-B	Yes					
P30462	HLA-B	Yes					
P30464	HLA-B	Yes					
P30466	HLA-B	Yes					
P30475	HLA-B	Yes					
P30479	HLA-B	Yes					
P30480	HLA-B	Yes					
P30481	HLA-B	Yes					
P30483	HLA-B	Yes					
P30484	HLA-B	Yes					
P30485	HLA-B	Yes					
P30487	HLA-B	Yes					
P30488	HLA-B	Yes					
P30492	HLA-B	Yes					
P30493	HLA-B	Yes					
P30495	HLA-B	Yes					
P30498	HLA-B	Yes					
P30685	HLA-B	Yes					
Q04826	HLA-B	Yes					
Q29718	HLA-B	Yes					
Q29836	HLA-B	Yes					
Q31612	HLA-B	Yes					
Q95365	HLA-B	Yes					
P04222	HLA-C	Yes					
P10321	HLA-C	Yes					
