PathID,GeneID
hsa00010,hsa:10327
hsa00010,hsa:124
hsa00010,hsa:125
hsa00010,hsa:126
hsa00010,hsa:127
hsa00010,hsa:128
hsa00010,hsa:130
hsa00010,hsa:130589
hsa00010,hsa:131
hsa00010,hsa:160287
hsa00010,hsa:1737
hsa00010,hsa:1738
hsa00010,hsa:2023
hsa00010,hsa:2026
hsa00010,hsa:2027
hsa00010,hsa:217
hsa00010,hsa:218
hsa00010,hsa:219
hsa00010,hsa:220
hsa00010,hsa:2203
hsa00010,hsa:221
hsa00010,hsa:222
hsa00010,hsa:223
hsa00010,hsa:224
hsa00010,hsa:226
hsa00010,hsa:229
hsa00010,hsa:230
hsa00010,hsa:2538
hsa00010,hsa:2597
hsa00010,hsa:26330
hsa00010,hsa:2645
hsa00010,hsa:2821
hsa00010,hsa:3098
hsa00010,hsa:3099
hsa00010,hsa:3101
hsa00010,hsa:3939
hsa00010,hsa:3945
hsa00010,hsa:3948
hsa00010,hsa:441531
hsa00010,hsa:501
hsa00010,hsa:5105
hsa00010,hsa:5106
hsa00010,hsa:5160
hsa00010,hsa:5161
hsa00010,hsa:5162
hsa00010,hsa:5211
hsa00010,hsa:5213
hsa00010,hsa:5214
hsa00010,hsa:5223
hsa00010,hsa:5224
hsa00010,hsa:5230
hsa00010,hsa:5232
hsa00010,hsa:5236
hsa00010,hsa:5313
hsa00010,hsa:5315
hsa00010,hsa:55276
hsa00010,hsa:55902
hsa00010,hsa:57818
hsa00010,hsa:669
hsa00010,hsa:7167
hsa00010,hsa:80201
hsa00010,hsa:83440
hsa00010,hsa:84532
hsa00010,hsa:8789
hsa00010,hsa:92483
hsa00010,hsa:92579
hsa00010,hsa:9562
hsa00020,hsa:1431
hsa00020,hsa:1737
hsa00020,hsa:1738
hsa00020,hsa:1743
hsa00020,hsa:2271
hsa00020,hsa:3417
hsa00020,hsa:3418
hsa00020,hsa:3419
hsa00020,hsa:3420
hsa00020,hsa:3421
hsa00020,hsa:4190
hsa00020,hsa:4191
hsa00020,hsa:47
hsa00020,hsa:48
hsa00020,hsa:4967
hsa00020,hsa:50
hsa00020,hsa:5091
hsa00020,hsa:5105
hsa00020,hsa:5106
hsa00020,hsa:5160
hsa00020,hsa:5161
hsa00020,hsa:5162
hsa00020,hsa:55753
hsa00020,hsa:6389
hsa00020,hsa:6390
hsa00020,hsa:6391
hsa00020,hsa:6392
hsa00020,hsa:8801
hsa00020,hsa:8802
hsa00020,hsa:8803
hsa00030,hsa:132158
hsa00030,hsa:2203
hsa00030,hsa:221823
hsa00030,hsa:226
hsa00030,hsa:229
hsa00030,hsa:22934
