Interactor A	Interaction	Interactor B	Interaction detection method(s)	Interaction identifier(s)	Interaction type(s)	Publication Identifier(s)	HostOrganism(s)	NumMethods	NumPublications	Throughput	Weight
Q86XR7	interacts with	Q99836	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	InnateDB Allergy:IDB-1633111|InnateDB Allergy:IDB-1633112|InnateDB:IDB-1633111|InnateDB:IDB-1633112	MI:0915(physical association)	22685567	taxid:0|taxid:9606	2	1	3	1
Q86XR7	interacts with	Q8IUC6	MI:0492(in vitro)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0492(in vitro)	HPRD_39194|UniProt_71849|BIOGRID_213885|HPRD_14284	MI:0915(physical association)|MI:0915(physical association)|-	14519765|12721283|12721283|14519765	human-293t:9606|unspecified:32644|-	3	2	11	0.454545455
Q15036	interacts with	P16109	MI:0018(two hybrid)	innatedb:IDB-648861	MI:0915(physical association)	11237770	taxid:4932	1	1	2	1
Q02750	interacts with	Q8IVT5	MI:0493(in vivo)|MI:0493(in vivo)|MI:0493(in vivo)|MI:0676(tandem affinity purification)|MI:0493(in vivo)|MI:0493(in vivo)	HPRD_39792|HPRD_39794|HPRD_39879|UniProt_92979|HPRD_39795|HPRD_30379	MI:0914(association)|-	10409742|10409742|11940661|17979178|10409742|15520859	human-293:9606|-	2	4	2	3
Q92622	interacts with	P13498	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-649053|innatedb:IDB-649057	MI:0915(physical association)	22423966|22423967	taxid:9606	1	2	9	0.333333333
Q5JY77	interacts with	P55085	MI:0096(pull down)	InnateDB Allergy:IDB-1635304|InnateDB:IDB-1635304	MI:0915(physical association)	15452121	taxid:0	1	1	56	0.035714286
P28482	interacts with	P04637	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-156866	MI:0915(physical association)	10958792	taxid:9606	1	1	5	0.4
P28482	interacts with	P05787	MI:0423(in-gel kinase assay)	innatedb:IDB-157095	MI:0217(phosphorylation reaction)	11788583	taxid:9606	1	1	6	0.333333333
P28482	interacts with	O14901	MI:0424(protein kinase assay)	innatedb:IDB-114809|innatedb:IDB-157265	MI:0217(phosphorylation reaction)	12006497|15300592	taxid:0|taxid:9606	1	2	3	1
P28482	interacts with	P15498	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-156848	MI:0915(physical association)	9013873	taxid:9606	1	1	6	0.333333333
